Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
32,8.753781,-454.6552,9.552499,34.35726,-0.822818,-2.114474,-1.160641,0.09630916,2.532397e-05,-4.685167e-05,0.0001311651,456.05155677718346,2.548551998425969,0.0,-22.0
33,7.096493,-478.3076,31.43094,33.58405,-0.5215383,-1.816474,-0.9573751,0.03836989,4.284614e-05,-1.05411e-05,4.247386e-05,480.5142584996267,2.118524739799585,1.0,-22.0
34,6.879223,-482.7677,35.50474,31.77579,-0.384371,-1.750248,-0.9417573,0.03356355,4.907204e-05,6.113619e-06,4.965654e-06,485.1133265082311,2.0243556849645494,2.0,-22.0
35,6.900027,-483.8145,36.96474,30.17964,-0.2064292,-1.717387,-0.9813477,0.03373242,4.850506e-05,1.117427e-05,1.905134e-06,486.1621880443266,1.9887368932759633,3.0,-22.0
36,6.972338,-484.2867,38.42997,28.78071,0.03114649,-1.675114,-1.047339,0.03442786,4.575033e-05,1.268138e-05,4.436085e-06,486.6608671952112,1.975827927162768,4.0,-22.0
37,7.062258,-484.4864,40.20688,27.69278,0.2838461,-1.617501,-1.128951,0.03518558,4.197204e-05,1.376455e-05,5.379187e-06,486.93999121906467,1.9928392945461535,5.0,-22.0
38,7.176792,-484.5191,42.17826,26.95403,0.5380954,-1.562682,-1.218836,0.03603412,3.845581e-05,1.438332e-05,4.502925e-06,487.0978172961551,2.0535537216058315,6.0,-22.0
39,7.307171,-484.2809,44.11972,26.49392,0.7951227,-1.52381,-1.306339,0.03683148,3.55667e-05,1.328875e-05,2.806536e-06,487.0076668746138,2.158874384274428,7.0,-22.0
40,7.453761,-483.4604,45.74786,26.24542,1.062366,-1.501265,-1.375944,0.03753937,3.354843e-05,1.01626e-05,1.207075e-06,486.32874389009334,2.296876141483689,8.0,-22.0
41,7.641921,-482.0633,46.94591,26.13828,1.353029,-1.492569,-1.414591,0.03835055,3.179862e-05,5.251797e-06,-2.001702e-07,485.04860926919116,2.46160869999336,9.0,-22.0
42,7.883486,-480.6037,47.80337,26.10414,1.675688,-1.496945,-1.407383,0.03934309,2.94464e-05,-1.186721e-06,-1.119573e-06,483.6801678404713,2.6513207114677773,10.0,-22.0
43,8.136235,-479.5228,48.43158,26.08798,2.01899,-1.506934,-1.343578,0.04021715,2.715696e-05,-6.955109e-06,-9.97827e-07,482.6679151980343,2.85523598718915,11.0,-22.0
44,8.343025,-478.8956,48.91389,26.00716,2.337685,-1.512834,-1.245248,0.04073972,2.56948e-05,-7.915992e-06,1.226312e-07,482.0891377178682,3.0502590795348845,12.0,-22.0
45,8.492385,-478.6126,49.32215,25.69952,2.581659,-1.507875,-1.172862,0.04097227,2.39476e-05,-3.322951e-06,2.939588e-06,481.8331253531796,3.211581460737062,13.0,-22.0
46,8.601654,-478.5289,49.71914,25.17919,2.741975,-1.471139,-1.158717,0.04103585,2.072236e-05,2.55821e-06,9.343346e-06,481.76331598265733,3.3204370110024675,14.0,-22.0
47,8.682185,-478.5868,50.12006,24.72499,2.837219,-1.365517,-1.189301,0.04097666,1.680972e-05,6.625867e-06,1.854966e-05,481.83884305765935,3.3658409350192118,15.0,-22.0
48,8.736548,-479.0044,50.48429,24.48285,2.886296,-1.182679,-1.246271,0.04075721,1.426634e-05,8.790504e-06,2.519465e-05,482.279264223838,3.358961985807223,16.0,-22.0
49,8.762974,-479.9647,50.79998,24.39392,2.90567,-0.9715569,-1.314172,0.04043816,1.291142e-05,9.456962e-06,2.472245e-05,483.2616419156985,3.3337499912893303,17.0,-22.0
50,8.76425,-481.0406,51.17671,24.39077,2.908567,-0.7969236,-1.380608,0.04017064,1.14779e-05,8.918376e-06,1.857301e-05,484.36971845479457,3.3167646385280283,18.0,-22.0
51,8.755774,-481.7861,51.89531,24.50375,2.901723,-0.684702,-1.434699,0.04003923,1.012412e-05,6.904371e-06,1.129952e-05,485.1921301064853,3.3086514500826465,19.0,-22.0
52,8.75388,-482.2177,53.31084,24.79744,2.875457,-0.626747,-1.464508,0.04008286,9.176296e-06,2.760522e-06,5.401314e-06,485.78891391771094,3.287225036854337,20.0,-22.0
53,8.773886,-482.4254,55.22062,25.13466,2.821823,-0.6090146,-1.456872,0.04049389,8.684688e-06,-2.360629e-06,1.312261e-06,486.22560048979324,3.2335831287793053,21.0,-22.0
54,8.812789,-482.4442,56.8579,25.34498,2.762976,-0.6164529,-1.413321,0.04121074,8.223332e-06,-5.654069e-06,-2.089836e-06,486.4438250376403,3.1640996829327945,22.0,-22.0
55,8.847451,-482.2133,57.87632,25.43464,2.720639,-0.6529738,-1.357355,0.04182307,7.138621e-06,-5.838007e-06,-6.173998e-06,486.33965088769185,3.1097691148753213,23.0,-22.0
56,8.871551,-481.8623,58.43578,25.46054,2.693196,-0.7254692,-1.312829,0.0422043,5.823991e-06,-4.128129e-06,-8.83794e-06,486.0599300935945,3.0827147512875137,24.0,-22.0
57,8.886305,-481.6069,58.71965,25.46196,2.674063,-0.8041886,-1.285344,0.04241933,4.932434e-06,-2.509705e-06,-7.593811e-06,485.8410386440961,3.073994377137824,25.0,-22.0
58,8.891464,-481.4347,58.84565,25.44701,2.657174,-0.8561784,-1.266897,0.04250767,4.357924e-06,-1.776391e-06,-4.199199e-06,485.6848064392715,3.065720653861268,26.0,-22.0
59,8.88732,-481.268,58.8847,25.39161,2.634599,-0.8798813,-1.251199,0.04252406,4.012774e-06,-1.544299e-06,-1.265901e-06,485.5213997101282,3.0464408627924633,27.0,-22.0
60,8.866056,-481.0066,58.86384,25.23785,2.596311,-0.8842278,-1.23837,0.04250594,3.727357e-06,-1.26509e-06,1.74911e-06,485.25173876631095,3.009360375214946,28.0,-22.0
61,8.830032,-480.5777,58.74075,24.95914,2.538503,-0.8589402,-1.229658,0.04248916,3.198844e-06,-8.460409e-07,5.817136e-06,484.7972360867913,2.9485309130394137,29.0,-22.0
62,8.796044,-480.0349,58.51758,24.61943,2.469888,-0.7973513,-1.224141,0.04253861,2.590961e-06,-5.547607e-07,8.506028e-06,484.2147547530861,2.869605724840381,30.0,-22.0
63,8.769531,-479.5001,58.28337,24.29962,2.403663,-0.7281332,-1.219976,0.04264742,2.076848e-06,-4.689432e-07,7.835832e-06,483.64012307780183,2.7921524340707546,31.0,-22.0
64,8.757513,-479.248,58.17522,24.15191,2.372674,-0.6969657,-1.218023,0.04270534,1.818338e-06,-4.608598e-07,6.717676e-06,483.3697513112467,2.756614431831461,32.0,-22.0
65,3.464059,-284.8859,29.95667,-1.858537,-4.799265,-0.8261151,3.814645,0.1566425,-7.70342e-05,0.0003343532,0.0001481358,286.46261929976004,6.186026768023075,-32.0,-21.3125
66,3.503188,-289.8669,25.455,-0.2813459,-5.131253,-0.8408565,3.758866,0.1567196,-9.712589e-05,0.0003189683,0.0001409232,290.98256974624,6.416063482350938,-31.0,-21.3125
67,3.533134,-300.4888,13.9507,4.539693,-5.748893,-1.047941,3.670196,0.1527332,-0.0001375138,0.000269636,0.0001263188,300.8467213855991,6.900600679893453,-30.0,-21.3125
68,3.510581,-312.4602,-0.6053591,11.10588,-6.198753,-1.489328,3.691064,0.1455008,-0.000153166,0.0002058601,0.0001279667,312.6580937929711,7.366586054522747,-29.0,-21.3125
69,3.501421,-323.9419,-14.91363,16.69682,-6.432988,-1.906088,3.812768,0.1407112,-0.0001340527,0.0001568109,0.0001534696,324.7145742548358,7.717104761094798,-28.0,-21.3125
70,3.548318,-333.1531,-27.16073,20.35777,-6.480987,-2.163207,3.938895,0.1387986,-0.0001071319,0.0001232718,0.0001851301,334.877786801567,7.8865423881472285,-27.0,-21.3125
71,3.672591,-340.4609,-37.06942,22.52494,-6.341929,-2.286991,4.040651,0.1395573,-8.488372e-05,9.874664e-05,0.0002120212,343.212964862853,7.859850620649416,-26.0,-21.3125
72,3.859344,-345.9666,-45.08909,23.61274,-6.042881,-2.317085,4.115665,0.1427484,-6.569187e-05,8.481897e-05,0.0002290859,349.6905429703465,7.669680050015842,-25.0,-21.3125
73,4.085887,-349.6998,-51.83274,23.98729,-5.659763,-2.260643,4.174332,0.1474216,-4.834165e-05,8.009498e-05,0.000231623,354.3331386386146,7.387047558791131,-24.0,-21.3125
74,4.336174,-352.1989,-57.77371,23.90541,-5.270228,-2.129874,4.222948,0.1523354,-3.333429e-05,7.801749e-05,0.0002174312,357.7056546319085,7.081310347567321,-23.0,-21.3125
75,4.593938,-353.9165,-63.14128,23.29862,-4.92486,-1.973118,4.254011,0.1567642,-1.748858e-05,7.479471e-05,0.0001898854,360.25898449059224,6.800297805952693,-22.0,-21.3125
76,4.851664,-355.0326,-68.16617,22.14967,-4.647858,-1.829256,4.256316,0.1607374,1.736412e-06,6.940363e-05,0.000157023,362.19522591599383,6.5623918957614835,-21.0,-21.3125
77,5.118164,-355.5799,-72.96525,20.65196,-4.434578,-1.715736,4.23279,0.1649623,2.332368e-05,6.175383e-05,0.0001259889,363.575984415107,6.365983289632482,-20.0,-21.3125
78,5.418447,-355.8112,-77.41751,18.96387,-4.269402,-1.638122,4.197678,0.170683,4.596437e-05,5.378288e-05,0.0001004293,364.6295507298016,6.2073937941918915,-19.0,-21.3125
79,5.7751,-356.1612,-81.43416,17.15284,-4.140737,-1.592595,4.146555,0.1789613,7.092983e-05,4.888728e-05,8.05892e-05,365.7547576182861,6.072559600795945,-18.0,-21.3125
80,6.193581,-356.8026,-85.25163,15.30317,-4.037368,-1.57147,4.054023,0.1902108,0.0001013817,4.876694e-05,6.517357e-05,367.16498035142973,5.933376847365504,-17.0,-21.3125
