Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,24.37069,-395.691,18.83997,-37.87284,-0.8747296,-1.926125,-0.231712,0.3539689,-1.173717e-05,-2.382761e-05,2.93877e-08,397.94555401495126,2.128097704449953,-32.0,-22.0
1,24.38678,-392.0388,18.68058,-39.57662,-0.8675554,-1.890098,-0.2390379,0.3558056,-1.149501e-05,-2.496781e-05,1.006729e-06,394.4739454326493,2.0933852820992054,-31.0,-22.0
2,24.54082,-385.8029,18.36329,-42.52606,-0.8645685,-1.838544,-0.2564954,0.3630498,-1.117718e-05,-2.77506e-05,5.332955e-07,388.5737431262665,2.0478067832071973,-30.0,-22.0
3,24.73356,-380.8554,18.00542,-45.09615,-0.8728796,-1.811139,-0.2655428,0.3719583,-1.123428e-05,-3.126735e-05,-1.452971e-06,383.9383981882496,2.027968503712274,-29.0,-22.0
4,24.84616,-376.3617,17.55026,-47.88603,-0.8814974,-1.793758,-0.264759,0.3801464,-1.157592e-05,-3.419674e-05,-2.520544e-06,379.80154386484327,2.016110799745827,-28.0,-22.0
5,24.97483,-372.4577,16.97409,-51.05517,-0.8912146,-1.786982,-0.2670256,0.3910221,-1.209899e-05,-3.62933e-05,-3.297403e-06,376.3236484787356,2.01466394285313,-27.0,-22.0
6,25.09061,-369.4445,16.25797,-54.83765,-0.9015117,-1.786983,-0.2712916,0.4042727,-1.2787e-05,-3.835659e-05,-3.711017e-06,373.84586132026845,2.0198095751224794,-26.0,-22.0
7,25.14849,-367.5039,15.39501,-59.42009,-0.9099251,-1.792973,-0.2755202,0.4182252,-1.371574e-05,-4.033348e-05,-4.077036e-06,372.59477981275876,2.029440131402513,-25.0,-22.0
8,25.14429,-366.5665,14.40011,-64.72334,-0.9130155,-1.805193,-0.2776612,0.4315099,-1.489202e-05,-4.218913e-05,-4.620492e-06,372.5150638981163,2.041914496856979,-24.0,-22.0
9,25.10866,-366.3811,13.28835,-70.37101,-0.90825,-1.825139,-0.2746089,0.4450416,-1.620955e-05,-4.379573e-05,-5.98831e-06,373.31457208546334,2.0570514042629586,-23.0,-22.0
10,25.11207,-367.0089,12.05249,-75.97816,-0.8969662,-1.862514,-0.2634269,0.4621759,-1.796759e-05,-4.463107e-05,-8.503399e-06,374.98463434038956,2.0839626905926245,-22.0,-22.0
11,25.27918,-368.6098,10.67205,-81.51558,-0.8856503,-1.924152,-0.2443309,0.4847379,-1.988856e-05,-4.377792e-05,-1.093939e-05,377.66634360236407,2.132237079146899,-21.0,-22.0
12,25.68436,-370.7215,9.140723,-87.21522,-0.8834307,-2.001072,-0.2249079,0.5114184,-2.080224e-05,-4.046342e-05,-1.189774e-05,380.952067823317,2.1989366781171533,-20.0,-22.0
13,26.30377,-372.6982,7.4975,-93.12784,-0.8962796,-2.078597,-0.2197576,0.5420607,-1.977859e-05,-3.495886e-05,-1.115129e-05,384.23034155641017,2.2742418544523617,-19.0,-22.0
14,27.15949,-374.149,5.835641,-99.05716,-0.9218229,-2.144468,-0.2419545,0.5786315,-1.697346e-05,-2.870119e-05,-9.216353e-06,387.0837762734916,2.3467088532791323,-18.0,-22.0
15,28.32154,-374.9419,4.303357,-104.8616,-0.9485165,-2.192248,-0.2952767,0.6228344,-1.378259e-05,-2.330866e-05,-6.932265e-06,389.3531846686751,2.4068284471144055,-17.0,-22.0
16,29.8246,-375.1779,3.060277,-110.5474,-0.9588095,-2.222954,-0.3755217,0.6750552,-1.112098e-05,-1.936117e-05,-4.912601e-06,391.1375072662896,2.4498687088448516,-16.0,-22.0
