Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,10.86867,-423.4214,-7.334587,-25.53117,-1.023206,-2.508303,-0.3990945,0.2262929,-1.13657e-05,-3.906696e-05,-8.414441e-06,424.25383767974273,2.738213081221995,-32.0,-22.0
1,11.04536,-423.3407,-7.513933,-27.17408,-0.9553425,-2.527836,-0.3749252,0.2311339,-1.153213e-05,-4.127646e-05,-9.700819e-06,424.2784911935378,2.7282234220820865,-31.0,-22.0
2,11.36954,-422.3519,-7.805031,-30.02662,-0.8367564,-2.572147,-0.340173,0.2401452,-1.190608e-05,-4.329342e-05,-1.150209e-05,423.4898391356578,2.7261363011557145,-30.0,-22.0
3,11.69504,-420.8175,-7.987786,-32.48365,-0.7289396,-2.626884,-0.321167,0.2495649,-1.244836e-05,-4.363707e-05,-1.230727e-05,422.14495205883287,2.744999222548735,-29.0,-22.0
4,12.06133,-419.4437,-8.099238,-35.09838,-0.6084031,-2.688179,-0.3067782,0.260427,-1.310675e-05,-4.474344e-05,-1.287515e-05,420.98754305144826,2.773188333331483,-28.0,-22.0
5,12.46331,-417.8319,-8.153775,-37.93599,-0.4788747,-2.75544,-0.2968069,0.2726213,-1.375703e-05,-4.5975e-05,-1.353726e-05,419.6297416075757,2.812448205352003,-27.0,-22.0
6,12.91208,-415.9491,-8.144084,-41.00656,-0.3461887,-2.829784,-0.2892316,0.2866527,-1.436e-05,-4.7408e-05,-1.413904e-05,418.0448754117704,2.8655154895938444,-26.0,-22.0
7,13.40352,-413.7681,-8.065777,-44.34678,-0.2140742,-2.90808,-0.281093,0.3024682,-1.481563e-05,-4.900043e-05,-1.443628e-05,416.21597066017557,2.9294658769397945,-25.0,-22.0
8,13.93672,-411.2887,-7.926459,-47.96847,-0.08484157,-2.987858,-0.2698128,0.3201294,-1.503869e-05,-5.060241e-05,-1.443145e-05,414.15238453268574,3.0012151650969487,-24.0,-22.0
9,14.5104,-408.5068,-7.73344,-51.8662,0.04074083,-3.066285,-0.2536916,0.3396802,-1.497567e-05,-5.200939e-05,-1.412158e-05,411.85885257320086,3.077031515009986,-23.0,-22.0
10,15.12444,-405.4441,-7.502824,-56.01593,0.1627174,-3.140864,-0.2322272,0.3612082,-1.462329e-05,-5.300279e-05,-1.360423e-05,409.364134978322,3.153638072318794,-22.0,-22.0
11,15.78061,-402.1447,-7.253062,-60.37924,0.2809476,-3.210239,-0.2060506,0.3848908,-1.40218e-05,-5.339951e-05,-1.302034e-05,406.7168785155632,3.2290900948761276,-21.0,-22.0
12,16.48239,-398.6695,-7.000866,-64.91417,0.3941857,-3.274167,-0.1766285,0.4110251,-1.320418e-05,-5.306839e-05,-1.248735e-05,403.9804844565996,3.3025368335547354,-20.0,-22.0
13,17.2337,-395.0871,-6.757905,-69.59106,0.4994661,-3.33325,-0.1458392,0.4400168,-1.218975e-05,-5.193619e-05,-1.206683e-05,401.22612265195625,3.3736169047190065,-19.0,-22.0
14,18.03783,-391.4688,-6.528601,-74.40558,0.5919783,-3.388389,-0.1156988,0.4723625,-1.099355e-05,-4.997882e-05,-1.16931e-05,398.53059398193454,3.4416572367557654,-18.0,-22.0
15,18.89704,-387.8869,-6.311155,-79.38201,0.6653961,-3.439183,-0.08835591,0.5086234,-9.547227e-06,-4.717443e-05,-1.115823e-05,395.9767434846195,3.5040745488953484,-17.0,-22.0
16,19.81415,-384.4091,-6.100893,-84.56167,0.7123832,-3.48314,-0.0663735,0.549395,-7.641673e-06,-4.338751e-05,-1.029083e-05,393.6473715032229,3.555862697678932,-16.0,-22.0
17,20.79747,-381.0822,-5.893701,-89.98285,0.7301946,-3.517258,-0.05359971,0.5952972,-5.066082e-06,-3.852996e-05,-9.277951e-06,391.6060420402626,3.592653743591949,-15.0,-22.0
18,21.86968,-377.9089,-5.688244,-95.67239,0.7223837,-3.542469,-0.0588695,0.6470703,-2.13912e-06,-3.246586e-05,-8.597076e-06,389.8726702749574,3.6158526579517782,-14.0,-22.0
19,23.07694,-374.7926,-5.487257,-101.6523,0.693624,-3.563674,-0.09611736,0.7059765,3.092647e-07,-2.534151e-05,-8.651584e-06,388.3719777474091,3.631821193085553,-13.0,-22.0
20,24.48949,-371.4759,-5.297215,-107.94,0.6328194,-3.588392,-0.1699889,0.7744263,1.571011e-06,-1.72343e-05,-1.019573e-05,386.87652858188005,3.6477272053709786,-12.0,-22.0
21,26.17256,-367.6165,-5.124496,-114.4247,0.5053316,-3.631846,-0.2648889,0.8555393,7.566385e-07,-6.806592e-06,-1.345756e-05,385.04696272220355,3.6763883803289565,-11.0,-22.0
22,28.09024,-363.1502,-4.982521,-120.3134,0.2826729,-3.704523,-0.3514098,0.9483756,-1.388553e-06,4.944028e-06,-1.615538e-05,382.59405052237213,3.7318739894936765,-10.0,-22.0
23,29.91248,-358.9802,-4.902525,-124.3613,-0.02691529,-3.785095,-0.3972215,1.036428,-5.51539e-07,1.429781e-05,-1.547778e-05,379.94282685833883,3.805976026188688,-9.0,-22.0
24,31.23135,-356.3278,-4.987959,-125.9938,-0.3785479,-3.837557,-0.3788635,1.098045,4.723498e-06,1.157958e-05,-7.969323e-06,377.97991801981453,3.8747489973513973,-8.0,-22.0
25,31.90587,-356.0263,-5.533528,-121.9373,-0.6969429,-3.787585,-0.2814567,1.124356,1.667634e-05,-1.312417e-05,1.417984e-05,376.36956751988697,3.861443695311418,-7.0,-22.0
26,30.83877,-360.1619,-6.735226,-106.064,-0.9137859,-3.477812,-0.07929051,1.039406,4.577055e-05,-5.227833e-05,5.518317e-05,375.5150191095971,3.59673017661304,-6.0,-22.0
27,25.73011,-382.7946,-8.49261,-66.28547,-1.007357,-2.777058,0.2408919,0.7187376,8.92967e-05,-7.88878e-05,9.14209e-05,388.58408838614713,2.96392445387844,-5.0,-22.0
28,17.82075,-429.3255,-10.31509,-3.494399,-0.9828722,-1.918988,0.5507945,0.2954743,9.921917e-05,-7.121814e-05,8.333852e-05,429.4636152881048,2.225292629500015,-4.0,-22.0
29,12.71,-465.4139,-11.38246,40.99957,-0.9626691,-1.404767,0.6769445,0.07265502,5.253279e-05,-3.164446e-05,4.046768e-05,467.35492235457036,1.8325817789294043,-3.0,-22.0
30,11.51694,-474.7809,-11.6455,51.9115,-1.028598,-1.272029,0.6531412,0.03959692,1.045246e-05,9.234068e-07,1.033003e-05,477.75236734872385,1.7614383468013974,-2.0,-22.0
31,11.38132,-475.4192,-11.6663,53.07155,-1.103273,-1.24184,0.5991253,0.03769232,9.514011e-07,1.194248e-05,3.537862e-06,478.51448014008156,1.7658791077616527,-1.0,-22.0
32,11.37543,-475.1616,-11.64296,53.24797,-1.162228,-1.21564,0.5189823,0.03757501,1.935501e-08,2.359603e-05,4.363891e-06,478.2775877471602,1.7600844187985103,0.0,-22.0
33,11.38197,-474.9775,-11.54183,53.33191,-1.221225,-1.173294,0.3890301,0.0375088,1.118374e-07,3.530388e-05,6.835284e-06,478.1015916834486,1.7376287663845262,1.0,-22.0
34,11.38489,-474.8981,-11.32902,53.37924,-1.277391,-1.107194,0.2395137,0.03735456,9.950565e-08,4.332529e-05,9.953129e-06,478.02290252742915,1.7073292397791031,2.0,-22.0
35,11.38124,-474.8933,-11.07523,53.40083,-1.324093,-1.014949,0.08448222,0.03713241,8.58244e-08,4.935504e-05,1.266198e-05,478.0145978410406,1.6704732834577536,3.0,-22.0
36,11.36474,-475.0142,-10.88295,53.40268,-1.353042,-0.9055636,-0.07332113,0.0369265,9.268862e-08,5.309498e-05,1.383294e-05,478.13050000342474,1.6297681048276276,4.0,-22.0
37,11.3295,-475.3747,-10.77395,53.36497,-1.361995,-0.7947791,-0.2167232,0.0367528,9.84038e-08,5.410583e-05,1.327381e-05,478.4819781577917,1.5917515959596364,5.0,-22.0
38,11.25495,-475.9379,-10.72461,53.24007,-1.360174,-0.6944782,-0.3361905,0.03651859,9.630468e-08,5.322191e-05,1.165161e-05,479.02652011101327,1.5637766249824463,6.0,-22.0
39,11.12249,-476.5319,-10.71079,53.02718,-1.362311,-0.6096876,-0.4290372,0.03618314,8.362372e-08,5.137352e-05,9.729909e-06,479.5928007787299,1.5529594808940124,7.0,-22.0
40,10.9758,-477.0352,-10.73032,52.78422,-1.379348,-0.5401487,-0.5004191,0.03586733,7.209948e-08,4.932233e-05,8.025441e-06,480.06655339374646,1.5635794827448013,8.0,-22.0
41,10.87272,-477.4179,-10.79719,52.56233,-1.417291,-0.482627,-0.5588676,0.03567689,6.709096e-08,4.733148e-05,6.734068e-06,480.424009690747,1.598116264274837,9.0,-22.0
42,10.82016,-477.7131,-10.86992,52.38239,-1.473606,-0.4337002,-0.6110949,0.03559864,6.306805e-08,4.520683e-05,5.707914e-06,480.6993611962975,1.6531931174312486,10.0,-22.0
43,10.80141,-478.0001,-10.90235,52.23159,-1.539769,-0.3924719,-0.6592163,0.03559246,5.670484e-08,4.252219e-05,4.61091e-06,480.96891357910084,1.720316510365549,11.0,-22.0
44,10.80127,-478.396,-10.89805,52.06616,-1.609032,-0.3609515,-0.7011128,0.0356808,4.451089e-08,3.899985e-05,3.311996e-06,481.34435212947926,1.7918786568013163,12.0,-22.0
45,10.81811,-478.9546,-10.81923,51.8231,-1.678877,-0.340405,-0.7327755,0.03594304,2.433518e-08,3.475606e-05,2.060348e-06,481.871557878822,1.8631863778361655,13.0,-22.0
46,10.85851,-479.5283,-10.53234,51.44044,-1.739931,-0.328862,-0.7517736,0.03639225,-2.024699e-09,3.049293e-05,1.133926e-06,482.3944854101871,1.9237135039974014,14.0,-22.0
47,10.93455,-479.9158,-9.820299,50.89788,-1.739734,-0.3230765,-0.7605008,0.03699726,-2.60834e-08,2.699553e-05,6.066015e-07,482.70716542287187,1.9259839777134413,15.0,-22.0
48,11.05525,-480.0861,-8.680617,50.26741,-1.643463,-0.3198776,-0.7653965,0.03772278,-3.445762e-08,2.415386e-05,3.662646e-07,482.78859662674176,1.8409573904800214,16.0,-22.0
49,11.19128,-480.1152,-7.522789,49.70631,-1.48081,-0.3178447,-0.7718799,0.03841204,-2.768052e-08,2.169106e-05,8.900606e-08,482.74000753945666,1.6998888462020392,17.0,-22.0
50,11.29452,-480.0227,-6.70182,49.30426,-1.295884,-0.3189652,-0.7808609,0.03889203,-1.515797e-08,1.941741e-05,-9.587702e-07,482.5946715005772,1.5462205164257297,18.0,-22.0
51,11.35173,-479.8128,-6.233762,49.02937,-1.135824,-0.3336037,-0.7904525,0.03915015,-2.147643e-09,1.710946e-05,-4.171587e-06,482.3515957837286,1.4234474849413798,19.0,-22.0
52,11.37596,-479.564,-6.01414,48.82754,-1.033292,-0.3861547,-0.7984862,0.03925408,6.066412e-09,1.474185e-05,-9.308029e-06,482.08083205868206,1.3617591641646956,20.0,-22.0
53,11.37909,-479.2957,-5.943594,48.63233,-0.9908581,-0.4830928,-0.8024757,0.03924991,7.452632e-09,1.225021e-05,-1.261021e-05,481.79331447141914,1.3635049236573882,21.0,-22.0
54,11.35113,-478.8754,-5.978474,48.34448,-0.9978649,-0.5885402,-0.799927,0.03903808,8.934095e-09,9.739971e-06,-1.1685e-05,481.34663146530806,1.4078341986885565,22.0,-22.0
55,11.24915,-478.092,-6.239169,47.77644,-1.04377,-0.6706106,-0.7901904,0.03831615,1.384351e-08,7.590486e-06,-8.756685e-06,480.51376245939525,1.470909670232853,23.0,-22.0
