Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,1.491732,-231.1358,-6.872524,-18.97492,-13.40385,-0.6772489,-1.360894,0.02200637,-1.497702e-07,-2.81439e-05,-2.23983e-07,232.0151659197669,13.489769952608057,-32.0,-22.0
1,1.533302,-232.9232,-6.500613,-20.10614,-13.42161,-0.6987367,-1.335034,0.0228514,-4.068569e-09,-3.081464e-05,-8.380559e-07,233.8797381846392,13.505930688004543,-31.0,-22.0
2,1.611716,-235.763,-5.864635,-22.31571,-13.45483,-0.7315502,-1.317217,0.0244,3.07016e-07,-3.341693e-05,-7.316635e-07,236.88937719004483,13.53893188730592,-30.0,-22.0
3,1.684121,-237.8522,-5.245182,-24.66469,-13.48317,-0.7542301,-1.343836,0.02578205,6.749774e-07,-3.445329e-05,2.71526e-07,239.18513313299644,13.570948068854365,-29.0,-22.0
4,1.760711,-239.9682,-4.487141,-27.35991,-13.50759,-0.7733231,-1.393215,0.02723799,1.080255e-06,-3.665822e-05,9.144076e-07,241.56455890879766,13.601252304891583,-28.0,-22.0
5,1.84987,-242.0095,-3.67294,-30.48039,-13.53034,-0.7875339,-1.470025,0.02893791,1.352444e-06,-3.888566e-05,1.191145e-06,243.9490577006718,13.632728401162925,-27.0,-22.0
6,1.95486,-243.771,-2.930501,-34.2643,-13.54867,-0.8032251,-1.577749,0.03097452,1.130421e-06,-4.140516e-05,3.21923e-07,246.18474877945016,13.663854552693797,-26.0,-22.0
7,2.079583,-245.1764,-2.387564,-38.81936,-13.5559,-0.8299908,-1.717893,0.03344136,2.201655e-08,-4.492133e-05,-1.72986e-06,248.24203973063,13.68950203248948,-25.0,-22.0
8,2.229803,-246.1631,-2.089582,-44.07269,-13.54375,-0.873669,-1.888079,0.03644653,-1.87976e-06,-5.077108e-05,-4.191653e-06,250.0860655022203,13.702602084797688,-24.0,-22.0
9,2.413405,-246.6979,-1.976759,-49.80514,-13.49977,-0.9325345,-2.078705,0.04012738,-4.103513e-06,-6.06179e-05,-6.215326e-06,251.6829620990934,13.69066927230423,-23.0,-22.0
10,2.639778,-246.8592,-1.911509,-55.70583,-13.4073,-1.0018,-2.275805,0.04465221,-6.593799e-06,-7.537523e-05,-7.723232e-06,253.07362167417998,13.635929925312206,-22.0,-22.0
11,2.918847,-246.8194,-1.750561,-61.54039,-13.2448,-1.078361,-2.468402,0.05019666,-9.411452e-06,-9.490165e-05,-8.798945e-06,254.3818002167742,13.515938662184176,-21.0,-22.0
12,3.262385,-246.7962,-1.406618,-67.16951,-12.98854,-1.157753,-2.65161,0.05696411,-1.214002e-05,-0.0001196312,-9.466015e-06,255.7774149182801,13.306900425445026,-20.0,-22.0
13,3.687611,-247.1271,-0.8887408,-72.43619,-12.61255,-1.238845,-2.815738,0.06526885,-1.463883e-05,-0.0001515446,-1.056117e-05,257.52591138822453,12.982277724697198,-19.0,-22.0
14,4.217722,-248.1637,-0.2628658,-77.17102,-12.08752,-1.331918,-2.93476,0.07553384,-1.796257e-05,-0.0001917752,-1.306097e-05,259.8858546053617,12.509794625281584,-18.0,-22.0
15,4.885938,-250.1082,0.398148,-81.38922,-11.38066,-1.452869,-2.988097,0.08832117,-2.314132e-05,-0.0002389897,-1.732922e-05,263.0180133779402,11.855757000215972,-17.0,-22.0
16,5.732233,-253.0407,1.045647,-85.36609,-10.46313,-1.617506,-2.96539,0.1042169,-3.044547e-05,-0.0002905539,-2.309757e-05,267.05441122742513,10.994860295112257,-16.0,-22.0
17,6.785214,-256.8978,1.669752,-89.46139,-9.334462,-1.835573,-2.848579,0.1234094,-3.971122e-05,-0.0003400371,-2.909677e-05,272.03420376363266,9.930554435025972,-15.0,-22.0
18,8.038238,-261.4658,2.33144,-93.97784,-8.054908,-2.100708,-2.624237,0.1454967,-4.917261e-05,-0.0003725412,-3.27469e-05,277.85182128821685,8.72818061350113,-14.0,-22.0
19,9.426415,-266.5131,3.146078,-99.17465,-6.797104,-2.378046,-2.306229,0.1693879,-5.43342e-05,-0.000363639,-3.125355e-05,284.3848474884247,7.561376710981473,-13.0,-22.0
20,10.85577,-271.7369,4.23811,-105.2464,-5.788869,-2.612051,-1.958334,0.1938295,-5.032548e-05,-0.0002977374,-2.475231e-05,291.4373159204944,6.645967708416736,-12.0,-22.0
21,12.2628,-276.6142,5.703047,-112.1961,-5.134735,-2.77265,-1.691178,0.2186696,-3.959694e-05,-0.0001994547,-1.678657e-05,298.55636861727504,6.075621332045719,-11.0,-22.0
22,13.68038,-280.4916,7.536328,-119.5599,-4.776793,-2.869902,-1.566505,0.2453573,-2.874957e-05,-0.0001121722,-1.056186e-05,305.0031206369758,5.788611817135261,-10.0,-22.0
