Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,1.229475,-158.3054,17.95134,-27.35329,-1.298795,6.41309,5.38451,0.08920342,-3.654771e-05,-1.078685e-05,1.564955e-05,161.65102149624573,8.473932955849072,-32.0,-22.0
1,1.210664,-152.1416,17.19031,-27.34275,-1.610342,6.337528,5.241529,0.08675976,-3.647225e-05,-7.385552e-06,1.324524e-05,155.53198766176237,8.380399081522848,-31.0,-22.0
2,1.183065,-141.322,14.75105,-27.30539,-2.327907,6.261034,4.994671,0.08313215,-3.581405e-05,-9.686234e-06,1.347499e-05,144.68961774486309,8.340649623863,-30.0,-22.0
3,1.161457,-131.223,10.97213,-26.89364,-3.050648,6.262157,4.784559,0.08041452,-3.292917e-05,-1.783391e-05,1.602033e-05,134.3991489488922,8.45062532224888,-29.0,-22.0
4,1.135859,-120.7445,6.72544,-25.88556,-3.645749,6.292458,4.577947,0.07744713,-2.674627e-05,-2.224208e-05,1.491748e-05,123.67104770299797,8.59325969510837,-28.0,-22.0
5,1.112141,-111.1744,2.569718,-24.5045,-4.183764,6.367524,4.380639,0.07471761,-1.743003e-05,-2.537797e-05,1.069764e-05,113.87195083166674,8.788585844525443,-27.0,-22.0
6,1.093474,-103.0755,-1.135379,-22.81959,-4.66809,6.475188,4.189058,0.07245755,-5.77342e-06,-2.657579e-05,3.558257e-06,105.57737197663022,9.014839477817008,-26.0,-22.0
7,1.081071,-96.93103,-4.293868,-20.58868,-5.075764,6.60683,3.998312,0.07084013,7.312468e-06,-2.558165e-05,-2.885768e-06,99.18646895320312,9.241216461155966,-25.0,-22.0
8,1.074349,-92.64209,-7.116677,-17.5604,-5.40819,6.758839,3.799699,0.0698202,2.020163e-05,-2.198913e-05,-5.242014e-06,94.55988356195468,9.453472176646102,-24.0,-22.0
9,1.07209,-89.91463,-9.898279,-13.62387,-5.682242,6.936045,3.576749,0.06935153,3.037699e-05,-1.512749e-05,-2.667631e-06,91.47801074015351,9.653482677126945,-23.0,-22.0
10,1.073691,-88.50942,-12.75039,-8.61589,-5.909579,7.141073,3.310785,0.0693773,3.630303e-05,-5.494582e-06,2.48808e-06,89.83720517903816,9.842730559392296,-22.0,-22.0
11,1.07941,-88.27603,-15.1914,-2.217405,-6.096067,7.360576,2.985181,0.06986083,3.904789e-05,5.137894e-06,8.461398e-06,89.60107695477173,10.012562984722043,-21.0,-22.0
12,1.090533,-89.3776,-16.63098,6.091948,-6.249993,7.600741,2.590303,0.07095557,4.197938e-05,1.378115e-05,1.569278e-05,91.11562274360585,10.175625085513863,-20.0,-22.0
13,1.106734,-91.86755,-16.90472,16.19597,-6.382096,7.885351,2.148658,0.07266772,4.579813e-05,1.507318e-05,2.097386e-05,94.803616732284,10.369505337641762,-19.0,-22.0
14,1.124402,-95.07051,-15.5614,26.70533,-6.496395,8.171657,1.743134,0.07462541,4.829312e-05,5.71466e-06,2.000295e-05,99.9686635502796,10.58383873004639,-18.0,-22.0
15,1.142261,-98.51212,-11.89919,36.346,-6.580804,8.396547,1.452067,0.07669556,4.955731e-05,-9.871427e-06,1.575461e-05,105.67525834153659,10.76649810208101,-17.0,-22.0
16,1.161159,-102.2872,-6.051048,43.73925,-6.607192,8.557762,1.281296,0.07892734,5.088513e-05,-2.550053e-05,1.385919e-05,111.41098893870749,10.887240054904824,-16.0,-22.0
17,1.180563,-106.3041,0.9895409,47.42659,-6.536461,8.676456,1.208348,0.08103028,5.187342e-05,-3.990879e-05,1.629832e-05,116.40799932578034,10.930064776274705,-15.0,-22.0
18,1.198018,-110.3638,8.144354,48.00996,-6.323034,8.765933,1.219801,0.08259077,5.155788e-05,-5.534863e-05,2.274184e-05,120.62941229948406,10.877051751520078,-14.0,-22.0
19,1.209378,-114.7781,14.99464,46.68108,-5.936996,8.82673,1.318679,0.08339183,4.992382e-05,-7.183821e-05,3.203384e-05,124.8117570515935,10.719048386025552,-13.0,-22.0
20,1.212349,-119.5393,21.47682,44.27561,-5.412234,8.856858,1.481761,0.0832559,4.775176e-05,-8.357935e-05,4.31008e-05,129.2719137426011,10.48483791787174,-12.0,-22.0
