Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,28.81231,-399.5586,-1.97296,-52.80175,-0.3257555,-3.540631,0.03043146,0.3801641,-3.464518e-05,-8.918654e-05,-1.336051e-05,403.0372094586108,3.5557152019950897,-32.0,-22.0
1,28.66019,-398.2309,-2.501994,-54.98425,-0.1721454,-3.624649,0.06927758,0.3838679,-3.567249e-05,-8.961013e-05,-1.719754e-05,402.0166382587275,3.6293957892509896,-31.0,-22.0
2,28.44259,-395.6268,-3.409741,-58.75002,0.06763097,-3.766567,0.1300228,0.3901078,-3.708004e-05,-8.804883e-05,-1.86317e-05,399.9796945620208,3.7694173080347557,-30.0,-22.0
3,28.3215,-392.9722,-4.153303,-61.94501,0.2205497,-3.86751,0.1739805,0.3939618,-3.755215e-05,-8.532719e-05,-1.523443e-05,397.84618153571597,3.8776984133181807,-29.0,-22.0
4,28.24575,-389.818,-4.858878,-65.17401,0.3533319,-3.950526,0.2158967,0.3963814,-3.744572e-05,-8.388212e-05,-1.404863e-05,395.25856524419424,3.972166977017016,-28.0,-22.0
5,28.26813,-385.9195,-5.501564,-68.36086,0.4821835,-4.028931,0.2508349,0.3991319,-3.684523e-05,-8.259452e-05,-1.394531e-05,391.96598687467224,4.06542790828853,-27.0,-22.0
6,28.44515,-381.3808,-6.063972,-71.45882,0.6082701,-4.107323,0.2744394,0.4031953,-3.597391e-05,-8.168899e-05,-1.461302e-05,388.06500656571603,4.161179126780698,-26.0,-22.0
7,28.7386,-376.3635,-6.547738,-74.50807,0.73685,-4.193038,0.2838959,0.4092203,-3.524894e-05,-8.141256e-05,-1.637239e-05,383.72361081941716,4.266744950659789,-25.0,-22.0
8,29.09122,-371.1169,-6.961542,-77.59217,0.8709134,-4.29449,0.2788146,0.4179331,-3.522121e-05,-8.209092e-05,-1.930279e-05,379.2054342674122,4.390771241088827,-24.0,-22.0
9,29.47639,-365.9173,-7.313732,-80.8258,1.013529,-4.419127,0.2626252,0.4296866,-3.638308e-05,-8.416392e-05,-2.323599e-05,374.8089794291191,4.541464133035187,-23.0,-22.0
10,29.79222,-361.0177,-7.612117,-84.34617,1.169238,-4.57199,0.2434665,0.444277,-3.904114e-05,-8.80825e-05,-2.779154e-05,370.81801524761516,4.725408553486805,-22.0,-22.0
11,29.96305,-356.609,-7.865278,-88.29122,1.345141,-4.754499,0.234106,0.4608981,-4.313612e-05,-9.411364e-05,-3.242577e-05,367.46044822280624,4.946662578963518,-21.0,-22.0
12,30.00441,-352.7636,-8.084317,-92.74993,1.550027,-4.96393,0.2503288,0.4783372,-4.821414e-05,-0.0001019798,-3.655945e-05,364.84251832992464,5.2063278089012455,-20.0,-22.0
13,29.91571,-349.4022,-8.283536,-97.69973,1.79015,-5.193923,0.3071071,0.4953104,-5.354686e-05,-0.0001103009,-3.976997e-05,362.89909282826295,5.502343857239332,-19.0,-22.0
14,29.62491,-346.3035,-8.477288,-103.0093,2.061051,-5.436235,0.4108626,0.5107475,-5.829077e-05,-0.0001161685,-4.191182e-05,361.3985257448831,5.828326541633092,-18.0,-22.0
