Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,2.386214,-251.6526,-0.7231381,-10.46918,-12.07779,0.4733959,-1.834687,0.03071337,2.529553e-06,-3.606588e-05,-3.106885e-06,251.87131187442543,12.225513950350138,-32.0,-22.0
1,2.453406,-253.0737,-0.741781,-11.42807,-12.05843,0.4805813,-1.844605,0.03183301,2.97137e-06,-3.524702e-05,-2.523573e-06,253.33268374741317,12.208163664402386,-31.0,-22.0
2,2.582275,-255.286,-0.6791916,-13.70865,-12.03283,0.4970431,-1.922474,0.0339773,4.207799e-06,-3.208302e-05,-1.123119e-06,255.65470889864713,12.195571160582585,-30.0,-22.0
3,2.714702,-256.9693,-0.4786267,-16.91579,-12.02715,0.5258891,-2.073468,0.03622861,6.278822e-06,-3.08706e-05,7.552173e-07,257.5259097204242,12.215898084669128,-29.0,-22.0
4,2.871016,-258.8219,-0.1709348,-20.84247,-12.02139,0.5702949,-2.248344,0.03895331,9.072853e-06,-3.527128e-05,2.582274e-06,259.65980377027313,12.243124786891704,-28.0,-22.0
5,3.059127,-260.8113,0.2015585,-25.02443,-11.99713,0.6241728,-2.430892,0.04226533,1.197732e-05,-4.328134e-05,3.902769e-06,262.00915428729553,12.256833026390783,-27.0,-22.0
6,3.284621,-262.9656,0.5457276,-29.41888,-11.94648,0.6845467,-2.613303,0.04626866,1.459414e-05,-5.338197e-05,4.901049e-06,264.6066422114679,12.248115820185971,-26.0,-22.0
7,3.554546,-265.3638,0.8346507,-34.06247,-11.86355,0.7502232,-2.796421,0.05108566,1.691612e-05,-6.531599e-05,5.807036e-06,267.5423234830929,12.211741229716557,-25.0,-22.0
8,3.876721,-268.0564,1.057726,-38.95867,-11.74154,0.8225933,-2.974213,0.05685257,1.905856e-05,-7.991528e-05,6.761929e-06,270.87475026923414,12.14027859145637,-24.0,-22.0
9,4.259962,-271.027,1.209382,-44.04925,-11.57042,0.9032576,-3.140429,0.06371887,2.127628e-05,-9.738524e-05,7.875465e-06,274.5859314666074,12.023010753234763,-23.0,-22.0
10,4.71346,-274.2287,1.280248,-49.2694,-11.33711,0.9946936,-3.293614,0.0718233,2.387701e-05,-0.0001169505,9.325098e-06,278.62249140188146,11.847673682667706,-22.0,-22.0
