Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,12.09723,-365.7166,-7.233373,-16.57702,-2.330245,-14.23685,5.328287,0.1183354,-0.0001451549,-0.0001179006,1.699625e-05,366.1635574338298,15.378835522785657,-32.0,-22.0
1,12.32088,-364.4973,-7.713746,-17.81802,-2.218845,-14.40978,5.306453,0.1199349,-0.0001458501,-0.0001185376,3.443938e-06,365.0140619501705,15.515265908892248,-31.0,-22.0
2,12.75273,-361.8833,-8.553964,-19.98196,-2.027765,-14.75875,5.278578,0.1233856,-0.0001474387,-0.0001210617,-1.066749e-05,362.535476670139,15.804933348793629,-30.0,-22.0
3,13.15544,-359.2987,-9.222571,-21.84557,-1.861015,-15.08662,5.269264,0.1267837,-0.0001491448,-0.0001241616,-1.244657e-05,360.0803251583804,16.088338104239387,-29.0,-22.0
4,13.56238,-356.7906,-9.846437,-23.8117,-1.674979,-15.40279,5.268555,0.1300031,-0.0001510724,-0.0001267825,-1.751055e-05,357.71983678130704,16.36487599166477,-28.0,-22.0
5,14.00733,-353.9963,-10.46986,-25.93548,-1.466593,-15.74649,5.280721,0.1335459,-0.0001533373,-0.0001294496,-2.531013e-05,355.09948958698885,16.672997829652292,-27.0,-22.0
6,14.49131,-350.8983,-11.07796,-28.21472,-1.235671,-16.11736,5.304055,0.1374484,-0.0001556098,-0.000131799,-3.320639e-05,352.2050660699389,17.01261812987249,-26.0,-22.0
7,15.01424,-347.4992,-11.66709,-30.66278,-0.9799712,-16.51262,5.335926,0.1416907,-0.0001576871,-0.00013404,-4.129693e-05,349.04443996006654,17.3809973561561,-25.0,-22.0
8,15.57908,-343.7741,-12.2333,-33.28744,-0.697671,-16.93287,5.376954,0.1463332,-0.0001594292,-0.0001364327,-4.993578e-05,345.5985230313544,17.779776870907494,-24.0,-22.0
9,16.19009,-339.7035,-12.7729,-36.09696,-0.3860791,-17.3794,5.427885,0.1514639,-0.0001609027,-0.0001391028,-5.920863e-05,341.8546553842753,18.211384818422836,-23.0,-22.0
10,16.85299,-335.2669,-13.28353,-39.09653,-0.04485621,-17.85396,5.489807,0.1571783,-0.0001621377,-0.0001419641,-6.906964e-05,337.8000667005734,18.678968939918086,-22.0,-22.0
11,17.57438,-330.4309,-13.76133,-42.28224,0.3277626,-18.35843,5.563983,0.1635791,-0.0001629727,-0.0001447889,-7.948579e-05,333.4092705633671,19.185861648910837,-21.0,-22.0
12,18.35965,-325.1744,-14.19168,-45.63338,0.7370688,-18.89286,5.651078,0.1707471,-0.0001630724,-0.0001473407,-8.995429e-05,328.66730833292013,19.73367963552711,-20.0,-22.0
13,19.2119,-319.4908,-14.5445,-49.11006,1.187035,-19.45369,5.750141,0.1787036,-0.0001619295,-0.0001489893,-9.982838e-05,323.57025783914935,20.320414076174877,-19.0,-22.0
14,20.13043,-313.3699,-14.79401,-52.66518,1.680145,-20.03401,5.857875,0.1874008,-0.0001591908,-0.0001490088,-0.0001087041,318.1087520680978,20.940371138467196,-18.0,-22.0
15,21.10979,-306.7955,-14.93068,-56.26494,2.216434,-20.62301,5.969345,0.196756,-0.0001547577,-0.0001470064,-0.0001159361,312.2693508795188,21.583655873495598,-17.0,-22.0
16,22.14561,-299.7381,-14.93913,-59.90654,2.791513,-21.20268,6.08094,0.2067643,-0.0001483158,-0.0001429605,-0.0001203774,306.03088035611455,22.233398644722968,-16.0,-22.0
17,23.24661,-292.1592,-14.71928,-63.61758,3.396891,-21.74242,6.195464,0.2177099,-0.0001392544,-0.0001373149,-0.0001202735,299.36741945878947,22.861659390726146,-15.0,-22.0
18,24.43025,-284.0646,-14.26793,-67.43529,4.022403,-22.19547,6.323863,0.2301123,-0.0001269111,-0.0001308177,-0.0001153483,292.307695993501,23.426691137633544,-14.0,-22.0
19,25.69738,-275.5564,-13.76105,-71.35867,4.657901,-22.53052,6.481193,0.2442817,-0.0001117449,-0.0001238055,-0.0001081627,284.9785182469573,23.90243158968246,-13.0,-22.0
20,27.00754,-266.7873,-13.37582,-75.35669,5.291051,-22.75165,6.680928,0.2600406,-9.520966e-05,-0.0001158414,-0.0001013639,277.54820613673314,24.295423382774896,-12.0,-22.0
21,28.28008,-257.9096,-13.19055,-79.46468,5.903585,-22.88339,6.933105,0.2767975,-7.914762e-05,-0.0001074536,-9.670747e-05,270.1962023215073,24.62863777567387,-11.0,-22.0
22,29.43595,-249.0975,-13.18638,-83.74807,6.47428,-22.95884,7.253315,0.2939888,-6.498301e-05,-0.0001024154,-9.470591e-05,263.1295961165891,24.932613464160248,-10.0,-22.0
23,30.45634,-240.5882,-13.44656,-88.21867,6.971095,-23.00133,7.684767,0.3121332,-5.261474e-05,-0.0001049771,-9.326532e-05,256.60480449836183,25.23317243455951,-9.0,-22.0
24,31.41088,-232.7412,-14.08754,-92.88526,7.355867,-23.01038,8.312795,0.3335731,-4.062063e-05,-0.0001131833,-8.716055e-05,250.98724367178343,25.54777735495035,-8.0,-22.0
25,32.37531,-226.1058,-14.94933,-97.76772,7.617113,-22.9338,9.235663,0.3614856,-2.451728e-05,-0.0001236671,-7.113918e-05,246.79109046942372,25.870389713808684,-7.0,-22.0
26,33.30278,-221.1199,-15.66424,-102.8295,7.784925,-22.69189,10.49281,0.398326,-4.557359e-06,-0.00013169,-4.913903e-05,244.36301819432006,26.184460863722688,-6.0,-22.0
27,34.0844,-217.732,-16.03113,-107.8283,7.826074,-22.29851,11.99828,0.4454297,8.889848e-06,-0.0001196977,-3.479541e-05,243.49776843734503,26.503390451637994,-5.0,-22.0
28,34.71782,-215.4838,-15.96571,-112.0552,7.612182,-21.9022,13.5358,0.5021942,6.718936e-06,-6.728125e-05,-3.11933e-05,243.40201273876949,26.849014158458854,-4.0,-22.0
29,35.28562,-214.0574,-14.99212,-114.6946,6.929507,-21.61289,14.81668,0.5629531,-3.905853e-07,3.112209e-05,-2.41587e-05,243.31088225974275,27.104779793194208,-3.0,-22.0
30,35.84526,-213.9614,-12.82799,-115.1856,5.515063,-21.41306,15.66073,0.6152968,3.788865e-06,0.0001615799,7.228698e-06,243.334667617995,27.096005657485183,-2.0,-22.0
31,36.34772,-218.2175,-10.20252,-110.2857,3.180105,-21.01211,16.06632,0.6481242,3.910933e-05,0.0003224116,0.0001660727,244.71596667379592,26.641104947158727,-1.0,-22.0
32,34.66627,-233.2991,-7.822506,-94.1185,-0.1319143,-18.67924,15.89378,0.5899587,0.0002009345,0.0005305182,0.0004966754,251.69019389555098,24.52638683231887,0.0,-22.0
33,27.64997,-270.7276,-5.742737,-60.02518,-3.499474,-13.43237,14.65716,0.357643,0.0004196457,0.0006193899,0.0006799421,277.3615594563233,20.186808102302255,1.0,-22.0
34,19.06954,-317.5285,-4.104454,-20.6337,-5.566294,-8.366221,13.00516,0.1094815,0.0003727257,0.00042028,0.0004765526,318.2246760239974,16.435068279166867,2.0,-22.0
35,15.04676,-342.0229,-3.233058,-1.30328,-6.239699,-6.139885,12.10961,0.01733236,0.0001357644,0.0001558537,0.0001763021,342.04066326564123,14.942378852643444,3.0,-22.0
36,14.42075,-346.3554,-2.985828,1.108355,-6.302883,-5.621345,11.82373,0.009416276,1.800463e-05,4.471078e-05,4.581532e-05,346.3700430591704,14.530190805134458,4.0,-22.0
37,14.32379,-346.8515,-2.824188,1.079306,-6.294493,-5.418975,11.70067,0.008744159,2.12082e-06,2.540691e-05,2.056887e-05,346.8646767711451,14.348923674846626,5.0,-22.0
38,14.23415,-346.8815,-2.299926,1.083512,-6.360611,-5.294158,11.6297,0.008267534,5.285048e-07,2.343215e-05,1.357983e-05,346.89081668460125,14.273591114792556,6.0,-22.0
39,14.0968,-346.8073,-1.444819,1.337852,-6.5355,-5.205538,11.58701,0.007742217,6.411472e-07,2.299475e-05,9.861299e-06,346.8128900188208,14.285278676299738,7.0,-22.0
40,13.95356,-346.6188,-0.7151924,1.840387,-6.797732,-5.141073,11.57487,0.007362513,4.911193e-07,2.109246e-05,6.837521e-06,346.6244236027213,14.374192410429638,8.0,-22.0
41,13.82562,-346.3626,-0.3171738,2.301672,-7.079044,-5.099565,11.59978,0.007165418,1.520252e-07,2.042931e-05,4.329969e-06,346.370392747381,14.514590011142616,9.0,-22.0
42,13.70145,-346.1568,-0.1631683,2.5581,-7.302115,-5.073967,11.62538,0.007092826,-8.931525e-09,2.356133e-05,3.145113e-06,346.16629051041946,14.636102101813652,10.0,-22.0
43,13.5664,-346.0571,-0.159019,2.645073,-7.445875,-5.051075,11.61357,0.007087117,3.150562e-08,2.754147e-05,4.306456e-06,346.0672451397672,14.691134105852754,11.0,-22.0
44,13.42742,-346.0748,-0.3962668,2.521341,-7.527407,-5.007063,11.57391,0.007168417,1.262897e-07,2.860888e-05,9.970968e-06,346.08421140360485,14.68631773855237,12.0,-22.0
45,13.29301,-346.1527,-1.285595,1.939834,-7.565778,-4.893428,11.5321,0.007472643,1.424716e-07,2.752073e-05,2.214789e-05,346.1605226303854,14.634751953704853,13.0,-22.0
46,13.15628,-346.173,-3.070707,0.9723331,-7.577591,-4.65389,11.48781,0.008025934,2.367083e-08,2.60028e-05,3.866586e-05,346.1879844855064,14.527503436292175,14.0,-22.0
47,13.0058,-346.008,-4.984428,0.1215075,-7.505584,-4.274707,11.44379,0.008557488,-1.956515e-07,2.296972e-05,5.528763e-05,346.0439211293268,14.337616283085728,15.0,-22.0
48,12.83292,-345.5235,-6.124406,-0.3830582,-7.277922,-3.767318,11.43138,0.008849919,-3.53354e-07,1.722088e-05,6.853443e-05,345.57798560482325,14.065464167797948,16.0,-22.0
49,12.61497,-344.7421,-6.493287,-0.6206038,-6.981537,-3.175269,11.46696,0.008947481,-3.593903e-07,1.049941e-05,7.167461e-05,344.8038042678052,13.795483454606801,17.0,-22.0
50,12.27392,-343.8224,-6.179936,-0.6969019,-6.753085,-2.618334,11.54031,0.008924799,-2.954005e-07,4.915898e-06,6.202964e-05,343.8786414172627,13.62492513186333,18.0,-22.0
51,11.59955,-342.9397,-5.011837,-0.653083,-6.625254,-2.181425,11.64103,0.008683945,-2.308393e-07,8.428459e-07,4.830852e-05,342.97694217484866,13.57078424616798,19.0,-22.0
52,10.49597,-342.3201,-3.648729,-0.4177225,-6.579766,-1.84447,11.75772,0.008159385,-1.638965e-07,-1.406635e-06,3.803588e-05,342.33979987639833,13.599241515395482,20.0,-22.0
53,9.374779,-342.0575,-2.923678,-0.03195391,-6.597486,-1.572055,11.87374,0.007647183,-1.089037e-07,-1.390691e-06,3.221032e-05,342.0699960831848,13.674204914027763,21.0,-22.0
54,8.66527,-342.0232,-2.769693,0.4039969,-6.657621,-1.328296,11.96902,0.007397114,-8.738187e-08,7.343514e-07,3.391581e-05,342.0346528512125,13.760295323998573,22.0,-22.0
55,8.359473,-342.2082,-3.276982,0.990921,-6.741618,-1.028427,12.02799,0.007348654,-1.017923e-07,5.286855e-06,4.796464e-05,342.2253244321591,13.826771813852755,23.0,-22.0
56,8.284591,-342.8786,-4.599326,1.872134,-6.859708,-0.5593975,12.02726,0.007500066,-1.247658e-07,1.791114e-05,7.608106e-05,342.91455644712465,13.857254508591168,24.0,-22.0
57,8.354358,-344.05,-5.900876,2.836059,-7.047776,0.1912171,11.86822,0.007870335,-1.33931e-07,4.48521e-05,0.0001116932,344.11228700559195,13.804432494452948,25.0,-22.0
58,8.665036,-345.581,-6.369106,3.418209,-7.284465,1.231016,11.42574,0.008252162,-1.214475e-07,7.199792e-05,0.0001258343,345.65658857456623,13.60611499569517,26.0,-22.0
59,9.299758,-347.5392,-5.341036,3.186214,-7.496654,2.208159,10.81998,0.008496564,-7.446984e-08,7.358062e-05,9.513856e-05,347.5948419666884,13.347200251940366,27.0,-22.0
60,10.17604,-349.438,-2.831876,2.013783,-7.653626,2.755881,10.34011,0.008688493,-1.089719e-08,5.051404e-05,4.327223e-05,349.4552770922918,13.156395625175499,28.0,-22.0
61,11.20714,-350.7359,-0.5370398,0.7807483,-7.765623,2.901677,10.09323,0.009091973,3.011518e-08,2.415416e-05,-1.547613e-05,350.7371801341637,13.061313939392086,29.0,-22.0
62,12.3666,-351.5359,0.6237406,0.1944906,-7.847525,2.507743,10.02517,0.009938945,4.037198e-08,5.624227e-06,-8.97066e-05,351.5365071621148,12.975995418794428,30.0,-22.0
63,13.54651,-352.1051,0.8717154,0.01301573,-7.913165,1.463685,10.06432,0.0109163,2.353295e-08,-4.850813e-06,-0.0001319437,352.10617930271803,12.886081295679071,31.0,-22.0
64,14.11834,-352.371,0.7808223,-0.01787376,-7.943451,0.8086462,10.10215,0.01134996,8.134754e-09,-8.292511e-06,-0.0001336226,352.3718655680891,12.876558433396534,32.0,-22.0
65,11.57017,-371.3754,-5.556192,-15.53373,-2.994127,-13.85023,5.180855,0.1188509,-0.0002080632,-0.0002066169,3.261361e-05,371.7416519068233,15.087575221885523,-32.0,-21.3125
66,11.77144,-370.2353,-6.060799,-16.70692,-2.888172,-14.0193,5.154914,0.1204396,-0.0002093501,-0.0002072081,1.91581e-05,370.66161364038607,15.21365992583573,-31.0,-21.3125
67,12.16174,-367.7502,-6.955582,-18.7511,-2.706033,-14.35961,5.11894,0.1238334,-0.0002120869,-0.0002097843,5.044159e-06,368.2936239907076,15.483041066689355,-30.0,-21.3125
68,12.52753,-365.2605,-7.682181,-20.50704,-2.545866,-14.67857,5.103007,0.1271406,-0.0002144888,-0.0002129032,3.126802e-06,365.9163667489176,15.747461108918637,-29.0,-21.3125
69,12.89695,-362.8374,-8.366532,-22.34949,-2.365479,-14.98491,5.095036,0.1302418,-0.000216764,-0.0002152138,-1.947847e-06,363.6213379323704,16.00320000652485,-28.0,-21.3125
70,13.30172,-360.1174,-9.06282,-24.33801,-2.161825,-15.31675,5.097611,0.1336264,-0.0002193663,-0.000217544,-9.798685e-06,361.05264881990894,16.2868645171637,-27.0,-21.3125
71,13.74432,-357.0787,-9.757368,-26.48631,-1.935039,-15.6754,5.112162,0.1373536,-0.0002218386,-0.000219667,-1.792176e-05,358.1925862457144,16.601106631961766,-26.0,-21.3125
72,14.2249,-353.7187,-10.44405,-28.81402,-1.68318,-16.05891,5.136826,0.1414156,-0.0002239439,-0.0002215697,-2.634936e-05,355.0440038342472,16.944281237478798,-25.0,-21.3125
73,14.74644,-350.0122,-11.11575,-31.32933,-1.404641,-16.46835,5.171338,0.1458681,-0.0002253987,-0.0002234628,-3.535176e-05,351.5872963648593,17.318265062402325,-24.0,-21.3125
74,15.31264,-345.9356,-11.76516,-34.03664,-1.097205,-16.90483,5.216206,0.1507817,-0.0002261341,-0.0002254564,-4.503195e-05,347.80504769148365,17.72529100396834,-23.0,-21.3125
75,15.92851,-341.4634,-12.3881,-36.93918,-0.7598207,-17.37002,5.272375,0.1562401,-0.0002262106,-0.0002273662,-5.546228e-05,343.678951319749,18.16845784421929,-22.0,-21.3125
76,16.6004,-336.5603,-12.98126,-40.03611,-0.3895527,-17.86649,5.341103,0.162342,-0.0002256096,-0.0002289135,-6.666864e-05,339.181719364723,18.65182558043009,-21.0,-21.3125
77,17.33371,-331.1953,-13.53558,-43.31771,0.0194849,-18.39583,5.423268,0.1691733,-0.0002240747,-0.0002298519,-7.825305e-05,334.2902371707413,19.178602056720713,-20.0,-21.3125
78,18.13248,-325.3458,-14.03104,-46.75825,0.4734172,-18.95714,5.518281,0.1767685,-0.0002210817,-0.0002295408,-8.962296e-05,328.98798398145806,19.7496507822244,-19.0,-21.3125
79,18.99814,-318.9876,-14.441,-50.32113,0.9773853,-19.54562,5.623414,0.1850931,-0.000216157,-0.0002271671,-0.0001002488,323.2550812581867,20.361957868153347,-18.0,-21.3125
80,19.92847,-312.0898,-14.74333,-53.97538,1.533476,-20.15149,5.734499,0.1940697,-0.0002091806,-0.0002222108,-0.0001094562,317.06584598419505,21.00758378880534,-17.0,-21.3125
81,20.92335,-304.6168,-14.91764,-57.7172,2.140044,-20.75858,5.8488,0.2036697,-0.0002001186,-0.0002144328,-0.0001163014,310.39524158925116,21.672722334269313,-16.0,-21.3125
82,21.9931,-296.5487,-14.90684,-61.5717,2.79107,-21.33963,5.968515,0.2140593,-0.0001885725,-0.0002037633,-0.0001191474,303.2398713747346,22.333675281668825,-15.0,-21.3125
