Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
31,13.21225,-436.216,28.19033,-8.698275,-1.966883,-0.3556255,1.469,0.02382752,3.167632e-06,-4.330028e-06,5.681135e-06,437.21248077963713,2.480536077532284,-1.0,-22.0
32,13.36325,-436.1915,28.75876,-7.8665,-1.959606,-0.3326509,1.523709,0.02322265,-4.005779e-07,2.426519e-07,1.762568e-06,437.2093008745784,2.504476275229576,0.0,-22.0
33,13.6878,-435.5385,29.02449,-7.764661,-1.933474,-0.3219991,1.586344,0.02390755,-5.586602e-07,6.248395e-06,5.059405e-07,436.5735859651326,2.5216051267819095,1.0,-22.0
34,13.88411,-435.1803,29.12301,-7.75687,-1.894401,-0.318988,1.613519,0.02437782,-4.650988e-07,1.425588e-05,-5.184309e-07,436.22266361543734,2.5087750110972484,2.0,-22.0
35,13.99273,-435.0118,29.13127,-7.870852,-1.83337,-0.3246675,1.618858,0.02460731,-3.718128e-07,1.856804e-05,-2.023095e-06,436.0571606363767,2.4672567289644283,3.0,-22.0
36,14.04996,-434.959,29.00647,-8.310399,-1.763838,-0.3457663,1.634158,0.02470612,-2.946642e-07,2.176821e-05,-3.5793e-06,436.00432304554056,2.4292285181562665,4.0,-22.0
37,14.07631,-434.9976,28.56822,-9.149278,-1.705237,-0.3762837,1.637867,0.02473497,-2.779459e-07,2.582252e-05,-3.877408e-06,436.030692139498,2.3941660257266393,5.0,-22.0
38,14.08442,-435.2376,27.85446,-10.05115,-1.6746,-0.4021445,1.625142,0.02470139,-2.837982e-07,2.949023e-05,-3.017992e-06,436.24381372344305,2.3679298720705924,6.0,-22.0
39,14.05335,-435.7079,27.20558,-10.67309,-1.685065,-0.4189471,1.592737,0.02443957,-2.538013e-07,3.210026e-05,-1.940066e-06,436.68688159331566,2.3562198280280238,7.0,-22.0
40,13.89675,-436.2043,26.79751,-11.00114,-1.744922,-0.4278521,1.546841,0.02372782,-1.976361e-07,3.288145e-05,-1.009122e-06,437.1650980602062,2.3707651264601077,8.0,-22.0
41,13.60044,-436.5632,26.57619,-11.13218,-1.85549,-0.4304066,1.497999,0.02273836,-1.633835e-07,3.197837e-05,-1.777699e-07,437.5130248354996,2.423240389524853,9.0,-22.0
42,13.27979,-436.7625,26.47408,-11.15293,-2.01363,-0.4268039,1.453192,0.02183055,-1.671397e-07,3.041027e-05,4.537092e-07,437.7062327242797,2.519649645252135,10.0,-22.0
43,13.00077,-436.834,26.43919,-11.03754,-2.208693,-0.4198522,1.412319,0.02104202,-1.665886e-07,2.904176e-05,5.745074e-07,437.77254552233825,2.655041543150472,11.0,-22.0
44,12.72748,-436.8396,26.43917,-10.55758,-2.407328,-0.4145426,1.375246,0.02019567,-1.52906e-07,2.708203e-05,2.415654e-07,437.7662941957789,2.803279370186775,12.0,-22.0
