Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
0,3.049274,-346.0487,2.939293,-31.49281,-12.52214,-1.59286,-1.38369,0.08901195,-2.894786e-05,-0.0001324358,1.006265e-05,347.49120750995405,12.698653124457728,-32.0,-22.0
1,3.137466,-346.4338,2.972763,-33.79407,-12.31885,-1.66193,-1.35516,0.09208549,-3.296906e-05,-0.0001420028,5.554631e-06,348.09087070685877,12.504100738277822,-31.0,-22.0
2,3.300248,-345.5996,2.554627,-37.79803,-11.96622,-1.803145,-1.351888,0.09788401,-4.14848e-05,-0.0001578051,-5.206733e-07,347.66981564575036,12.176590415381844,-30.0,-22.0
3,3.455231,-343.7699,1.788164,-40.97494,-11.6837,-1.961754,-1.382432,0.1036859,-5.014162e-05,-0.0001720566,-2.572972e-06,346.207867305907,11.927633574231729,-29.0,-22.0
4,3.613734,-342.8918,1.273917,-43.95161,-11.41378,-2.120375,-1.399109,0.1096325,-5.651769e-05,-0.0001859595,-2.317741e-06,345.6995131517471,11.693069315748795,-28.0,-22.0
5,3.773669,-342.5946,0.9917881,-47.16769,-11.13785,-2.258103,-1.431863,0.1154178,-6.021072e-05,-0.0001977652,-1.491985e-06,345.827752750891,11.454298906169598,-27.0,-22.0
6,3.945198,-342.8856,0.8968032,-50.82894,-10.85335,-2.384451,-1.481462,0.1214109,-6.296739e-05,-0.0002106047,-1.32845e-06,346.63369727258646,11.210510356417544,-26.0,-22.0
7,4.130755,-343.5535,0.9586102,-54.97273,-10.5531,-2.499784,-1.539864,0.1275758,-6.523825e-05,-0.0002257386,-1.086996e-06,347.9251749146911,10.953904363063977,-25.0,-22.0
8,4.332486,-344.055,1.161334,-59.50086,-10.22743,-2.603947,-1.594514,0.1339564,-6.699981e-05,-0.0002441851,-1.074274e-06,349.1640646779092,10.67348768116144,-24.0,-22.0
9,4.555205,-344.1749,1.422978,-64.2404,-9.866496,-2.701892,-1.621358,0.1408213,-6.852347e-05,-0.0002662221,-1.560231e-06,350.1217154770016,10.357449756665199,-23.0,-22.0
